university,type_1,type_2,region,Latitude,Longitude,publishing_program,press,student_pop_size_2022_average,demogs_1_2022,demogs_2_2022,demogs_3_2022,student_pop_size_2012_average,demogs_1_2012,demogs_2_2012,demogs_3_2012,year,revenue
University of North Carolina at Chapel Hill,R1,,South,35.9049,-79.0469,1,1,237692,White,Asian,Hispanic/Latino,217960,White,Black or African American,Asian,2017,3848221796
Baylor University,R1,Private,South,31.5493,-97.1143,1,1,167206,White,Hispanic/Latino,Asian,132064,White,Hispanic/Latino,Black or African American,2017,2722000000
Sisseton Wahpeton College,TCU,,Midwest,45.6655,-97.0172,0,0,1758,American Indian or Alaska Native,White,Two or More Races,1684,American Indian or Alaska Native,White,Black or African American,2017,5885210
Texas A&M International University,R2,HSI,South,27.573,-99.4388,1,0,71200,Hispanic/Latino,Nonresident Alien,White,65366,Hispanic/Latino,Nonresident Alien,White,2017,158055214
Davidson College,Liberal Arts,,South,35.5006,-80.8453,1,0,18166,White,Nonresident Alien,Hispanic/Latino,16900,White,Black or African American,Hispanic/Latino,2017,1655427222
University of Florida,R1,,South,29.6516,-82.3248,1,0,411416,White,Hispanic/Latino,Asian,380716,White,Hispanic/Latino,Black or African American,2017,4218218000
Hampton University,HBCU,,Mid-Atlantic,37.0175,-76.3371,1,0,28486,Black or African American,Race/Ethnicity Unknown,White,40022,Black or African American,White,Nonresident Alien,2017,606665368
University of Vermont,R2,,Northeast,44.4759,-73.1965,1,1,119452,White,Hispanic/Latino,Two or More Races,110838,White,Race/Ethnicity Unknown,Hispanic/Latino,2017,1311350000
Reed College,Liberal Arts,,West,45.4805,-122.6305,1,0,14370,White,Hispanic/Latino,Two or More Races,13604,White,Race/Ethnicity Unknown,Hispanic/Latino,2017,1249015576
Princeton University,R1,,Mid-Atlantic,40.3431,-74.6551,1,1,65690,White,Asian,Nonresident Alien,60860,White,Asian,Nonresident Alien,2017,53147452000
Claremont McKenna College,Liberal Arts,,West,34.1019,-117.709,1,0,13216,White,Hispanic/Latino,Asian,12142,White,Race/Ethnicity Unknown,Nonresident Alien,2017,1911430000
"University of California, Merced",R2,HSI,West,37.3649,-120.4248,1,0,81684,Hispanic/Latino,Asian,White,52642,Hispanic/Latino,Asian,White,2017,151230000
University of Illinois at Urbana-Champaign,R1,,Midwest,40.102,-88.2272,1,1,418114,White,Asian,Nonresident Alien,353840,White,Nonresident Alien,Asian,2017,2900453294
North Carolina A&T State University,HBCU,R2,South,36.0735,-79.774,1,0,117676,Black or African American,Hispanic/Latino,Two or More Races,91196,Black or African American,White,Race/Ethnicity Unknown,2017,335562262
Oglala Lakota College,TCU,,Midwest,43.1896,-102.7459,1,0,11260,American Indian or Alaska Native,White,Two or More Races,15106,American Indian or Alaska Native,White,Hispanic/Latino,2017,143532006
University of New Mexico-Main Campus,R1,HSI,West,35.0845,-106.6198,1,1,173316,Hispanic/Latino,White,American Indian or Alaska Native,238874,Hispanic/Latino,White,American Indian or Alaska Native,2017,2515776468
Purdue University,R1,,Midwest,40.4237,-86.9212,1,1,108162,White,Nonresident Alien,Asian,97398,White,Asian,Nonresident Alien,2017,27504288000
University of Kansas,R1,,Midwest,38.9543,-95.2558,1,0,210556,White,Hispanic/Latino,Asian,214584,White,Nonresident Alien,Hispanic/Latino,2017,1530148790
Jackson State University,HBCU,R2,South,32.2968,-90.2078,1,0,54834,Black or African American,White,Nonresident Alien,73580,Black or African American,White,Two or More Races,2017,153779786
Middlebury College,Liberal Arts,,Northeast,44.007,-73.1765,1,0,26644,White,Nonresident Alien,Hispanic/Latino,23848,White,Nonresident Alien,Hispanic/Latino,2017,2365354000
"University of Maryland, College Park",R1,,Mid-Atlantic,38.9869,-76.9426,1,0,332104,White,Asian,Black or African American,297586,White,Asian,Black or African American,2017,2586166744
University of Mississippi,R1,,South,34.3659,-89.5383,1,0,183502,White,Black or African American,Hispanic/Latino,163714,White,Black or African American,Hispanic/Latino,2017,2103568834
Northwestern University,R1,Private,Midwest,42.0559,-87.6753,1,1,141902,White,Asian,Nonresident Alien,135282,White,Asian,Nonresident Alien,2017,22574174000
Georgia Institute of Technology,R1,,South,33.7756,-84.3963,1,0,50888,White,Nonresident Alien,Hispanic/Latino,37668,White,Nonresident Alien,Race/Ethnicity Unknown,2017,166496126
Sitting Bull College,TCU,,Midwest,46.0896,-101.3555,0,0,2300,American Indian or Alaska Native,White,Hispanic/Latino,2652,American Indian or Alaska Native,White,Hispanic/Latino,2017,8643048
Colorado State University,R1,HSI,West,40.5734,-105.0865,1,0,46738,White,Hispanic/Latino,Two or More Races,54612,White,Hispanic/Latino,Race/Ethnicity Unknown,2017,111099676
Brown University,R1,,Northeast,41.8268,-71.4025,1,0,85488,White,Asian,Nonresident Alien,69870,White,Nonresident Alien,Asian,2017,8042228000
College of Menominee Nation,TCU,,Midwest,44.8772,-88.6107,0,0,2498,American Indian or Alaska Native,White,Hispanic/Latino,6442,American Indian or Alaska Native,White,Black or African American,2017,7663462
University of Oklahoma-Norman Campus,R1,,South,35.2059,-97.4458,1,1,229798,White,Hispanic/Latino,Two or More Races,226774,White,Hispanic/Latino,Black or African American,2017,1207276000
Rollins College,Liberal Arts,,South,28.592,-81.348,1,0,26286,White,Hispanic/Latino,Nonresident Alien,27884,White,Hispanic/Latino,Black or African American,2017,758262000
Rice University,R1,Private,South,29.7174,-95.4018,1,0,59194,White,Asian,Nonresident Alien,47010,White,Asian,Nonresident Alien,2017,13482742000
University of North Texas,R2,HSI,South,33.21,-97.148,1,1,363958,White,Hispanic/Latino,Black or African American,326412,White,Hispanic/Latino,Black or African American,2017,1474083688
University of Virginia-Main Campus,R1,,Mid-Atlantic,38.0336,-78.508,1,1,199584,White,Asian,Nonresident Alien,179154,White,Asian,Nonresident Alien,2017,2353667802
University of Utah,R1,,West,40.7649,-111.8421,1,1,282174,White,Hispanic/Latino,Asian,268132,White,Hispanic/Latino,Nonresident Alien,2017,4809822000
The University of Tennessee-Knoxville,R1,,South,35.954,-83.9299,1,1,283226,White,Hispanic/Latino,Black or African American,235546,White,Black or African American,Nonresident Alien,2017,1211912014
Florida International University,R1,HSI,South,25.757,-80.3773,1,1,462072,Hispanic/Latino,Black or African American,White,395936,Hispanic/Latino,Black or African American,White,2017,1466211212
Loyola Marymount University,Private,,West,33.9701,-118.4175,1,1,80594,White,Hispanic/Latino,Nonresident Alien,71430,White,Hispanic/Latino,Asian,2017,1093074000
Fort Lewis College,R2,HSI,West,37.2753,-107.8794,1,0,30970,White,American Indian or Alaska Native,Hispanic/Latino,36464,White,American Indian or Alaska Native,Hispanic/Latino,2017,95941868
"University of California, Davis ",R1,HSI,West,38.5382,-121.7617,1,0,335030,Asian,Hispanic/Latino,White,272684,Asian,White,Hispanic/Latino,2017,1349602000
Leech Lake Tribal College,TCU,,Midwest,47.5097,-94.892,0,0,1534,American Indian or Alaska Native,Two or More Races,White,3116,American Indian or Alaska Native,White,Two or More Races,2017,10270108
Rutgers University-New Brunswick,R1,,Mid-Atlantic,40.5006,-74.4476,1,1,404036,White,Asian,Hispanic/Latino,337486,White,Asian,Hispanic/Latino,2017,3167836000
Drexel University,R1,Private,Mid-Atlantic,39.9566,-75.1899,1,0,167274,White,Asian,Nonresident Alien,189912,White,Asian,Nonresident Alien,2017,1665628000
University of Connecticut,R1,,Northeast,41.806,-72.253,1,0,212912,White,Hispanic/Latino,Asian,199440,White,Race/Ethnicity Unknown,Asian,2017,3267755058
University of Missouri-Columbia,R1,,Midwest,38.9404,-92.3277,1,0,255564,White,Black or African American,Hispanic/Latino,286090,White,Black or African American,Nonresident Alien,2017,3352329280
Grinnell College,Liberal Arts,,Midwest,41.7509,-92.7191,1,0,16516,White,Nonresident Alien,Hispanic/Latino,15600,White,Nonresident Alien,Hispanic/Latino,2017,4231512000
University of Denver,R2,Private,West,39.678,-104.9614,1,0,87906,White,Hispanic/Latino,Two or More Races,76522,White,Nonresident Alien,Hispanic/Latino,2017,1582375248
New York University,R1,Private,Northeast,40.7295,-73.9965,1,1,399554,Nonresident Alien,White,Asian,301100,White,Asian,Race/Ethnicity Unknown,2017,8502500000
Bowdoin College,Liberal Arts,,Northeast,43.906,-69.9634,1,0,18110,White,Hispanic/Latino,Asian,17374,White,Hispanic/Latino,Asian,2017,3781194000
Texas A&M University ,R1,HSI,South,30.6187,-96.3365,1,1,340480,Hispanic/Latino,White,Black or African American,304784,White,Hispanic/Latino,Black or African American,2017,1706575754
California Polytechnic State University-San Luis Obispo,R2,,West,35.3004,-120.6625,1,0,203736,White,Hispanic/Latino,Asian,173202,White,Hispanic/Latino,Asian,2017,741414434
University of Louisville,R1,,South,38.2152,-85.7606,1,0,169336,White,Black or African American,Hispanic/Latino,170410,White,Black or African American,Hispanic/Latino,2017,822970000
Columbia University in the City of New York,R1,Private,Northeast,40.8075,-73.9626,1,1,193852,Nonresident Alien,White,Asian,149848,White,Nonresident Alien,Asian,2017,24843320000
Bard College,Liberal Arts,,Northeast,42.0184,-73.9102,1,0,23220,White,Nonresident Alien,Hispanic/Latino,20176,White,Race/Ethnicity Unknown,Nonresident Alien,2017,296233746
Simmons University,Women's College,,Northeast,42.339,-71.1003,1,0,32770,White,Race/Ethnicity Unknown,Hispanic/Latino,29194,White,Race/Ethnicity Unknown,Black or African American,2017,390905524
University of Kentucky,R1,,South,38.0376,-84.5037,1,1,247996,White,Black or African American,Hispanic/Latino,226240,White,Black or African American,Nonresident Alien,2017,2887905264
"California State University, Northridge",R2,HSI,West,34.2381,-118.5287,1,0,333146,Hispanic/Latino,White,Asian,324190,Hispanic/Latino,White,Asian,2017,892486388
DePauw University,Liberal Arts,,Midwest,39.64,-86.8622,1,0,16370,White,Nonresident Alien,Hispanic/Latino,22056,White,Nonresident Alien,Black or African American,2017,1340951664
Sweet Briar College,Women's College,,South,37.5654,-79.0794,1,0,4250,White,Nonresident Alien,Black or African American,6314,White,Black or African American,Hispanic/Latino,2017,151416404
Illinois State University,R2,,Midwest,40.5095,-88.9946,1,0,182952,White,Hispanic/Latino,Black or African American,185878,White,Hispanic/Latino,Black or African American,2017,684781114
Ohio State University,R1,,Midwest,40.0017,-83.0197,1,1,258878,White,Hispanic/Latino,Nonresident Alien,263598,White,Nonresident Alien,Hispanic/Latino,2017,1537359866
University of Wisconsin-Madison,R1,,Midwest,43.0766,-89.4125,1,0,391916,White,Nonresident Alien,Asian,333628,White,Nonresident Alien,Asian,2017,3761960533
Wellesley College,Liberal Arts,Women's College,Northeast,42.2936,-71.3065,1,0,22922,White,Asian,Hispanic/Latino,23182,White,Asian,Nonresident Alien,2017,4226408000
Vanderbilt University,R1,Private,South,36.1447,-86.8027,1,1,94480,White,Asian,Nonresident Alien,88228,White,Nonresident Alien,Black or African American,2017,10198196056
Baylor College of Medicine,R1,Private,South,29.7116,-95.4018,1,0,6440,White,Asian,Nonresident Alien,6100,White,Asian,Nonresident Alien,2017,3327554512
South Dakota State University,R2,,Midwest,44.3196,-96.7851,1,0,95268,White,Nonresident Alien,Hispanic/Latino,108294,White,Nonresident Alien,Two or More Races,2017,366091844
American University ,R2,Private,Mid-Atlantic,38.9375,-77.0897,1,0,98532,White,Hispanic/Latino,Nonresident Alien,90156,White,Race/Ethnicity Unknown,Hispanic/Latino,2017,1996908000
Johns Hopkins University,R1,Private,Mid-Atlantic,39.3289,-76.6205,1,1,156948,White,Nonresident Alien,Asian,116476,White,Nonresident Alien,Asian,2017,10521958000
University of Nebraska-Lincoln,R1,,Midwest,40.8202,-96.7005,1,1,200706,White,Hispanic/Latino,Nonresident Alien,203572,White,Nonresident Alien,Hispanic/Latino,2017,1623285918
University of North Dakota,R2,,Midwest,47.9212,-97.0701,1,0,108118,White,Nonresident Alien,Hispanic/Latino,126074,White,Nonresident Alien,Race/Ethnicity Unknown,2017,681960018
University of Maine,R2,,Northeast,44.9,-68.667,1,1,99474,White,Hispanic/Latino,Two or More Races,90078,White,Race/Ethnicity Unknown,Nonresident Alien,2017,437252000
College of Saint Benedict,Women's College,,Midwest,45.5785,-94.3963,1,0,13830,White,Hispanic/Latino,Asian,19710,White,Nonresident Alien,Asian,2017,163137558
University of Oregon,R1,,West,44.0455,-123.0726,1,0,198928,White,Hispanic/Latino,Two or More Races,213484,White,Nonresident Alien,Hispanic/Latino,2017,1348985744
Pepperdine University,Private,,West,34.04,-118.709,1,1,60184,White,Hispanic/Latino,Asian,48598,White,Hispanic/Latino,Asian,2017,2533244000
University of Texas at Austin,R1,HSI,South,30.2849,-97.7341,1,1,437856,White,Hispanic/Latino,Asian,429330,White,Hispanic/Latino,Asian,2017,3805801660
University of Idaho,R2,,West,46.7253,-117.0002,1,0,88224,White,Hispanic/Latino,Nonresident Alien,101444,White,Hispanic/Latino,Nonresident Alien,2017,285591418
Dartmouth College,R1,,Northeast,43.7044,-72.2887,1,1,51292,White,Nonresident Alien,Asian,47696,White,Asian,Nonresident Alien,2017,11375990710
University of Colorado Boulder,R1,,West,40.0076,-105.2659,1,0,328596,White,Hispanic/Latino,Two or More Races,269576,White,Hispanic/Latino,Asian,2017,3295444464
University of Alabama,R1,,South,33.2098,-87.5692,1,1,328858,White,Black or African American,Hispanic/Latino,286778,White,Black or African American,Nonresident Alien,2017,2141307100
Clemson University,R1,,South,34.675,-82.8354,1,1,239688,White,Hispanic/Latino,Black or African American,174970,White,Black or African American,Nonresident Alien,2017,2015796442
Oregon State University,R1,,West,44.5638,-123.2781,1,1,299580,White,Hispanic/Latino,Asian,226426,White,Nonresident Alien,Asian,2017,1127379562
Arizona State University,R1,HSI,West,33.4219,-111.9332,1,0,54092,White,Hispanic/Latino,Asian,81782,White,Nonresident Alien,Hispanic/Latino,2017,249734000
Wake Forest University,R2,Private,South,36.1355,-80.278,1,1,65790,White,Nonresident Alien,Hispanic/Latino,56094,White,Black or African American,Asian,2017,3853788000
University of Pittsburgh-Pittsburgh Campus,R1,,Mid-Atlantic,40.4445,-79.9561,1,1,254944,White,Asian,Nonresident Alien,217074,White,Nonresident Alien,Asian,2017,8452659292
Northeastern University,R1,Private,Northeast,42.3398,-71.0892,1,1,212306,White,Nonresident Alien,Asian,199684,White,Nonresident Alien,Race/Ethnicity Unknown,2017,2226340000
"University of California, Irvine",R1,HSI,West,33.6405,-117.8443,1,0,304348,Asian,Hispanic/Latino,Nonresident Alien,233034,Asian,White,Hispanic/Latino,2017,1180856000
Duke University,R1,Private,South,36.0014,-78.9382,1,1,108162,White,Nonresident Alien,Asian,97398,White,Asian,Nonresident Alien,2017,27504288000
Georgetown University,R1,Private,Mid-Atlantic,38.9076,-77.0723,1,1,125956,White,Nonresident Alien,Asian,110192,White,Nonresident Alien,Asian,2017,3569538000
Michigan State University,R1,,Midwest,42.7018,-84.4822,1,1,414920,White,Asian,Nonresident Alien,401036,White,Nonresident Alien,Black or African American,2017,3007630538
Tufts University,R1,Private,Northeast,42.4075,-71.119,1,0,90954,White,Asian,Nonresident Alien,72060,White,Asian,Race/Ethnicity Unknown,2017,4341660596
Brandeis University,R2,Private,Northeast,42.3668,-71.2586,1,1,42424,White,Nonresident Alien,Asian,43048,White,Nonresident Alien,Race/Ethnicity Unknown,2017,2160389584
Williams College,Liberal Arts,,Northeast,42.7128,-73.203,1,0,20624,White,Asian,Hispanic/Latino,19610,White,Hispanic/Latino,Asian,2017,5633220552
Linfield University,Liberal Arts,,West,45.2101,-123.1987,1,0,16366,White,Hispanic/Latino,Two or More Races,15524,White,Two or More Races,Hispanic/Latino,2017,268938672
University of Delaware,R1,,Mid-Atlantic,39.678,-75.7521,1,1,199968,White,Hispanic/Latino,Nonresident Alien,185312,White,Nonresident Alien,Hispanic/Latino,2017,3849505012
University of Montana,R2,,West,46.8601,-113.984,1,1,78756,White,Two or More Races,Hispanic/Latino,129602,White,Two or More Races,Hispanic/Latino,2017,301867718
"University of Nevada, Reno",R2,HSI,West,39.5443,-119.8164,1,1,174718,White,Hispanic/Latino,Two or More Races,156002,White,Hispanic/Latino,Asian,2017,685025372
West Virginia University,R1,,Mid-Atlantic,39.6342,-79.9532,1,1,200744,White,Two or More Races,Hispanic/Latino,243380,White,Nonresident Alien,Black or African American,2017,1381482496
California Baptist University,Private,,West,33.8884,-117.437,1,0,92350,Hispanic/Latino,White,Black or African American,52030,White,Hispanic/Latino,Black or African American,2017,58340760
University of South Florida ,R1,HSI,South,28.0587,-82.4139,1,0,407946,White,Hispanic/Latino,Nonresident Alien,341086,White,Hispanic/Latino,Black or African American,2017,2161278504
Seattle University,Private,,West,47.6092,-122.3196,1,0,50700,White,Asian,Hispanic/Latino,55544,White,Asian,Nonresident Alien,2017,468747862
Stetson University,Private,,South,29.0346,-81.3031,1,0,29570,White,Hispanic/Latino,Black or African American,29272,White,Hispanic/Latino,Black or African American,2017,521085100
University of Wyoming,R2,,West,41.3145,-105.5731,1,1,91634,White,Hispanic/Latino,Race/Ethnicity Unknown,108948,White,Race/Ethnicity Unknown,Hispanic/Latino,2017,879625438
Seton Hall University,Private,,Mid-Atlantic,40.7428,-74.246,1,0,70988,White,Hispanic/Latino,Black or African American,68568,White,Hispanic/Latino,Black or African American,2017,591826000
Drake University,Private,,Midwest,41.6019,-93.6523,1,0,34120,White,Hispanic/Latino,Black or African American,39354,White,Nonresident Alien,Black or African American,2017,434687766
Hofstra University,Private,,Mid-Atlantic,40.7145,-73.6018,1,0,73956,White,Hispanic/Latino,Asian,82234,White,Hispanic/Latino,Black or African American,2017,1277111978
Loyola University Chicago,R2,Private,Midwest,41.9992,-87.6587,1,0,131308,White,Hispanic/Latino,Asian,116180,White,Hispanic/Latino,Asian,2017,1461910396
Saint Louis University,R2,Private,Midwest,38.636,-90.2346,1,0,110342,White,Race/Ethnicity Unknown,Asian,124808,White,Asian,Black or African American,2017,2541381190
University of Notre Dame,R1,Private,Midwest,41.7031,-86.2389,1,1,101956,White,Hispanic/Latino,Nonresident Alien,95290,White,Hispanic/Latino,Nonresident Alien,2017,26774694000
University of Houston,R1,HSI,South,29.7199,-95.3422,1,0,399896,Hispanic/Latino,Asian,White,346788,White,Hispanic/Latino,Asian,2017,2468808720
Washington University in St. Louis,R1,Private,Midwest,38.6488,-90.3108,1,0,111890,White,Nonresident Alien,Asian,93860,White,Asian,Nonresident Alien,2017,17770210000
Marquette University,Private,,Midwest,43.039,-87.9284,1,1,84918,White,Hispanic/Latino,Asian,92198,White,Hispanic/Latino,Black or African American,2017,1335660000
St. John's College,Liberal Arts,,Northeast,38.9816,-76.4901,1,0,4676,White,Nonresident Alien,Hispanic/Latino,4494,White,Nonresident Alien,Hispanic/Latino,2017,344219696
Creighton University,Private,,Midwest,41.2653,-95.9491,1,1,57156,White,Hispanic/Latino,Asian,53054,White,Asian,Hispanic/Latino,2017,1497566000
Catholic University of America,Private,,Mid-Atlantic,38.9368,-77.0008,1,1,36196,White,Hispanic/Latino,Black or African American,47488,White,Race/Ethnicity Unknown,Hispanic/Latino,2017,813430000
Goucher College,Liberal Arts,,Mid-Atlantic,39.4104,-76.5928,1,0,12296,White,Black or African American,Race/Ethnicity Unknown,17028,White,Race/Ethnicity Unknown,Black or African American,2017,449638000
Agnes Scott College,Women's College,,South,33.7683,-84.2934,1,0,9608,White,Black or African American,Hispanic/Latino,8170,White,Black or African American,Nonresident Alien,2017,467964680
Furman University,Liberal Arts,,South,34.9245,-82.4388,1,0,22156,White,Black or African American,Hispanic/Latino,26700,White,Black or African American,Race/Ethnicity Unknown,2017,1525593994
Whitman College,Liberal Arts,,West,46.071,-118.329,1,0,14174,White,Nonresident Alien,Hispanic/Latino,14552,White,Asian,Hispanic/Latino,2017,1201028224
"University of California, Santa Barbara",R1,,West,34.414,-119.8489,1,0,236342,White,Hispanic/Latino,Asian,192076,White,Hispanic/Latino,Asian,2017,788364000
University of Alaska Fairbanks,R2,,West,64.8591,-147.8494,1,0,52370,White,American Indian or Alaska Native,Two or More Races,74118,White,Race/Ethnicity Unknown,American Indian or Alaska Native,2017,352930748
University of Tampa,Private,,South,27.9476,-82.4649,1,1,96084,White,Hispanic/Latino,Race/Ethnicity Unknown,61390,White,Hispanic/Latino,Nonresident Alien,2017,109848908
University of San Diego,Private,,West,32.7716,-117.189,1,0,66406,White,Hispanic/Latino,Asian,62662,White,Hispanic/Latino,Asian,2017,1276080000
University of Indianapolis,Private,,Midwest,39.7089,-86.1356,1,0,40310,White,Black or African American,Nonresident Alien,45510,White,Black or African American,Nonresident Alien,2017,216118678
University of Texas at El Paso,R2,HSI,South,31.773,-106.5055,1,0,208778,Hispanic/Latino,White,Nonresident Alien,199684,Hispanic/Latino,White,Nonresident Alien,2017,627401588
University of Massachusetts Amherst,R1,,Northeast,42.3868,-72.5301,1,1,262964,White,Asian,Nonresident Alien,233234,White,Race/Ethnicity Unknown,Asian,2017,1372698970
University of North Carolina Wilmington,R2,,South,34.2257,-77.8787,1,0,151060,White,Hispanic/Latino,Black or African American,123840,White,Hispanic/Latino,Black or African American,2017,557398272
University of West Florida,R2,,South,30.5441,-87.2172,1,0,105524,White,Hispanic/Latino,Black or African American,107948,White,Black or African American,Hispanic/Latino,2017,411003062
University of Missouri-Kansas City,R2,,Midwest,39.0336,-94.576,1,0,106756,White,Hispanic/Latino,Black or African American,116726,White,Black or African American,Race/Ethnicity Unknown,2017,629276144
University of Hawaii at Hilo,R2,,West,19.6995,-155.0806,1,0,25834,Two or More Races,White,Hispanic/Latino,36458,Two or More Races,White,Asian,2017,107163028
"University of California, Riverside",R1,HSI,West,33.9737,-117.3281,1,0,233280,Hispanic/Latino,Asian,White,186946,Asian,Hispanic/Latino,White,2017,583132000
University of Massachusetts Lowell,R2,,Northeast,42.6526,-71.3246,1,0,137456,White,Asian,Hispanic/Latino,132590,White,Asian,Hispanic/Latino,2017,571588000
University of North Alabama,R2,,South,34.8055,-87.6818,1,0,72532,White,Black or African American,Nonresident Alien,61060,White,Black or African American,Nonresident Alien,2017,226891612
University of North Carolina Asheville,Liberal Arts,Public,South,35.6164,-82.5665,1,0,27682,White,Hispanic/Latino,Black or African American,34320,White,Hispanic/Latino,Race/Ethnicity Unknown,2017,93216324
University of Texas Health Science Center at Houston,R1,,South,29.7092,-95.4018,1,0,24740,White,Asian,Hispanic/Latino,21334,White,Asian,Nonresident Alien,2017,860003078
University of Texas Medical Branch at Galveston,R1,,South,29.3114,-94.7782,1,0,16954,White,Hispanic/Latino,Asian,16104,White,Hispanic/Latino,Asian,2017,935876978
University of Texas MD Anderson Cancer Center,R1,,South,29.7088,-95.3976,1,0,3478,Hispanic/Latino,Asian,White,2900,White,Asian,Hispanic/Latino,2017,2226972
New College of Florida,Liberal Arts,Public,South,27.3839,-82.557,1,0,6394,White,Hispanic/Latino,Two or More Races,7874,White,Hispanic/Latino,Two or More Races,2017,38293610
Mississippi State University,R1,,South,33.454,-88.794,1,0,193088,White,Black or African American,Hispanic/Latino,174012,White,Black or African American,Nonresident Alien,2017,821284834
University of West Georgia,R2,,South,33.5731,-85.0962,1,0,93814,White,Black or African American,Hispanic/Latino,102030,White,Black or African American,Hispanic/Latino,2017,284291616
University of Central Missouri,R2,,Midwest,38.7626,-93.736,1,0,82862,White,Nonresident Alien,Black or African American,99484,White,Race/Ethnicity Unknown,Black or African American,2017,347996792
Bowie State University,HBCU,R2,Mid-Atlantic,39.02,-76.7744,1,0,54636,Black or African American,Hispanic/Latino,Two or More Races,46270,Black or African American,White,Hispanic/Latino,2017,245898412
Eastern Michigan University,R2,,Midwest,42.2506,-83.6244,1,0,120076,White,Black or African American,Hispanic/Latino,200186,White,Black or African American,Race/Ethnicity Unknown,2017,495630338
Sam Houston State University,R2,HSI,South,30.713,-95.5508,1,0,188338,White,Hispanic/Latino,Black or African American,162680,White,Hispanic/Latino,Black or African American,2017,761410978
University of Northern Iowa,R2,,Midwest,42.5152,-92.4535,1,0,78662,White,Hispanic/Latino,Black or African American,109046,White,Nonresident Alien,Black or African American,2017,436543310
Florida Gulf Coast University,R3,,South,26.4631,-81.773,1,0,141714,White,Hispanic/Latino,Black or African American,121064,White,Hispanic/Latino,Black or African American,2017,378851530
Portland State University,R2,,West,45.511,-122.6846,1,1,174088,White,Hispanic/Latino,Asian,236362,White,Hispanic/Latino,Asian,2017,668780562
East Tennessee State University,R2,,South,36.3038,-82.3699,1,0,110016,White,Race/Ethnicity Unknown,Black or African American,128214,White,Black or African American,Two or More Races,2017,332913066
Indiana State University,R2,,Midwest,39.4693,-87.4081,1,0,73196,White,Black or African American,Hispanic/Latino,102544,White,Black or African American,Nonresident Alien,2017,283966000
"California State University, Chico",R2,HSI,West,39.7285,-121.8375,1,0,130066,White,Hispanic/Latino,Asian,151708,White,Hispanic/Latino,Race/Ethnicity Unknown,2017,340506580
University of Massachusetts Dartmouth,R2,,Northeast,41.6282,-71.0087,1,0,59548,White,Black or African American,Hispanic/Latino,78090,White,Black or African American,Hispanic/Latino,2017,231422000
Montana Technological University,R2,,West,46.0152,-112.5263,1,0,14452,White,Race/Ethnicity Unknown,Hispanic/Latino,18660,White,Nonresident Alien,Race/Ethnicity Unknown,2017,111784300
Western Carolina University,R2,,South,35.3095,-83.186,1,0,101824,White,Hispanic/Latino,Black or African American,82458,White,Black or African American,Hispanic/Latino,2017,383198976
Fayetteville State University,HBCU,R2,South,35.0742,-78.8945,1,0,57944,Black or African American,White,Hispanic/Latino,53638,Black or African American,White,Race/Ethnicity Unknown,2017,77138528
University of Wisconsin-Eau Claire,R2,,Midwest,44.7981,-91.4985,1,0,91546,White,Hispanic/Latino,Two or More Races,102630,White,Asian,Nonresident Alien,2017,269066714
University of North Georgia,R3,,South,34.5285,-83.9849,1,1,162110,White,Hispanic/Latino,Black or African American,,,,,2017,240587894
"California State University, San Marcos",R2,HSI,West,33.13,-117.16,1,0,138538,Hispanic/Latino,White,Asian,98272,White,Hispanic/Latino,Race/Ethnicity Unknown,2017,281425600
University of Michigan-Dearborn,R2,,Midwest,42.318,-83.232,1,0,66962,White,Asian,Nonresident Alien,76006,White,Black or African American,Asian,2017,281990000
Texas Woman’s University,R2,Women's College,South,33.2275,-97.1292,1,0,116956,White,Hispanic/Latino,Black or African American,109996,White,Black or African American,Hispanic/Latino,2017,800407890
Winston-Salem State University,HBCU,R2,South,36.0917,-80.2264,1,0,45128,Black or African American,White,Hispanic/Latino,59818,White,Hispanic/Latino,Black or African American,2017,94234478
University of Houston-Clear Lake,R3,HSI,South,29.5743,-95.1026,1,0,71618,Hispanic/Latino,White,Asian,59818,White,Hispanic/Latino,Black or African American,2017,299225060
"California State Polytechnic University, Pomona",R2,HSI,West,34.0572,-117.8211,1,0,253384,Hispanic/Latino,Asian,White,205312,Hispanic/Latino,Asian,White,2017,736670120
University of Texas Permian Basin,R3,HSI,South,31.8829,-102.3367,1,0,47566,Hispanic/Latino,White,Black or African American,32838,White,Hispanic/Latino,Black or African American,2017,245563760
"Minnesota State University, Mankato",R2,,Midwest,44.1465,-93.0011,1,0,124514,White,Nonresident Alien,Black or African American,134338,White,Nonresident Alien,Black or African American,2017,476672000
Tarleton State University,R2,,South,32.2153,-98.2179,1,0,122752,White,Hispanic/Latino,Black or African American,109472,White,Race/Ethnicity Unknown,Hispanic/Latino,2017,274064086
Trinity University,Private,Liberal Arts,South,29.461,-98.4835,1,1,24446,White,Hispanic/Latino,Asian,22264,White,Hispanic/Latino,Asian,2017,2575439746
North Dakota State University,R2,,Midwest,46.8914,-96.8008,1,1,95268,White,Nonresident Alien,Hispanic/Latino,108294,White,Nonresident Alien,Two or More Races,2017,366091844
Southeastern Louisiana University,R3,,South,30.5225,-90.4675,1,0,112254,White,Black or African American,Hispanic/Latino,135038,White,Black or African American,Hispanic/Latino,2017,280842040
