university,type_1,type_2,region,Latitude,Longitude,"publishing_program (1=yes, 0=no)","press (1=yes, 0=no)",student_pop_size_2022_average,demogs_1_2022,demogs_2_2022,demogs_3_2022,student_pop_size_2012_average,demogs_1_2012,demogs_2_2012,demogs_3_2012,2012_revenue,2013_revenue,2014_revenue,2015_revenue,2016_revenue,2017_revenue,2018_revenue,2019_revenue,2020_revenue,2021_revenue,2022_revenue
University of Florida,R1,,South,29.6516,-82.3248,1,0,411416,White,Hispanic/Latino,Asian,380716,White,Hispanic/Latino,Black or African American,3131756000,3394360000,3806922000,3983162000,3933318000,4218218000,4555270000,4639624000,5082816000,6855338000,4496670000
Hampton University,HBCU,,Mid-Atlantic,37.0175,-76.3371,1,0,28486,Black or African American,Race/Ethnicity Unknown,White,40022,Black or African American,White,Nonresident Alien,515183038,597836654,565573156,529674522,587690402,606665368,605874146,603947024,791127708,725320456,366381490
University of Vermont,R2,,Northeast,44.4759,-73.1965,1,1,119452,White,Hispanic/Latino,Two or More Races,110838,White,Race/Ethnicity Unknown,Hispanic/Latino,1044120000,1077034000,1146606000,1253804000,1281400878,1311350000,1386244000,1489430000,1577886000,1636248000,839622000
Reed College,Liberal Arts,,West,45.4805,-122.6305,1,0,14370,White,Hispanic/Latino,Two or More Races,13604,White,Race/Ethnicity Unknown,Hispanic/Latino,1026015086,1153516934,1136373340,1034986354,1155058272,1249015576,1250193148,1235745014,1681057064,1562705144,834525099
Princeton University,R1,,Mid-Atlantic,40.3431,-74.6551,1,1,65690,White,Asian,Nonresident Alien,60860,White,Asian,Nonresident Alien,37572264000,43200928000,46625130000,45260242000,49169524000,53147452000,53854334000,55246734000,77689952000,74953458000,34852245000
Claremont McKenna College,Liberal Arts,,West,34.1019,-117.709,1,0,13216,White,Hispanic/Latino,Asian,12142,White,Race/Ethnicity Unknown,Nonresident Alien,1455966000,1647712000,1717708000,1618108000,1807218000,1911430000,2646650000,3086564000,4228428000,4177122000,2075043000
"University of California, Merced",R2,HSI,West,37.3649,-120.4248,1,0,81684,Hispanic/Latino,Asian,White,52642,Hispanic/Latino,Asian,White,105814000,102062000,124456000,125796000,138230000,151230000,169566000,169278000,179362000,165766000,81236000
University of Illinois at Urbana-Champaign,R1,,Midwest,40.102,-88.2272,1,1,418114,White,Asian,Nonresident Alien,353840,White,Nonresident Alien,Asian,2602712104,2529020590,2716046566,2616384318,2680758110,2900453294,2961893552,3452811920,3157250899,3798307714,1635592998
North Carolina A&T State University,HBCU,R2,South,36.0735,-79.774,1,0,117676,Black or African American,Hispanic/Latino,Two or More Races,91196,Black or African American,White,Race/Ethnicity Unknown,205421800,218926316,258310490,285040780,309291428,335562262,351223846,386252062,440474428,568950306,313810622
Oglala Lakota College,TCU,,Midwest,43.1896,-102.7459,1,0,11260,American Indian or Alaska Native,White,Two or More Races,15106,American Indian or Alaska Native,White,Hispanic/Latino,109796970,126176770,105168806,116283880,134308006,143532006,149699872,161503588,232536842,227861050,115385965
