college_name,UNITID,INSTNM,CONTROL,SECTOR,CITY,STABBR,match_type
Marquette University,239105.0,Marquette University,2.0,2.0,Milwaukee,WI,exact
St. John's College,163976.0,St. John's College,2.0,2.0,Annapolis,MD,exact
St. John's College,245652.0,St. John's College,2.0,2.0,Santa Fe,NM,exact
Creighton University,181002.0,Creighton University,2.0,2.0,Omaha,NE,exact
Goucher College,162654.0,Goucher College,2.0,2.0,Baltimore,MD,exact
Agnes Scott College,138600.0,Agnes Scott College,2.0,2.0,Decatur,GA,exact
Furman University,218070.0,Furman University,2.0,2.0,Greenville,SC,exact
Whitman College,237057.0,Whitman College,2.0,2.0,Walla Walla,WA,exact
University of Alaska Fairbanks,102614.0,University of Alaska Fairbanks,1.0,1.0,Fairbanks,AK,exact
University of San Diego,122436.0,University of San Diego,2.0,2.0,San Diego,CA,exact
University of Indianapolis,151263.0,University of Indianapolis,2.0,2.0,Indianapolis,IN,exact
University of North Carolina Wilmington,199218.0,University of North Carolina Wilmington,1.0,1.0,Wilmington,NC,exact
University of Missouri-Kansas City,178402.0,University of Missouri-Kansas City,1.0,1.0,Kansas City,MO,exact
University of Hawaii at Hilo,141565.0,University of Hawaii at Hilo,1.0,1.0,Hilo,HI,exact
University of North Alabama,101879.0,University of North Alabama,1.0,1.0,Florence,AL,exact
New College of Florida,262129.0,New College of Florida,1.0,1.0,Sarasota,FL,exact
Mississippi State University,176080.0,Mississippi State University,1.0,1.0,Mississippi State,MS,exact
University of West Georgia,141334.0,University of West Georgia,1.0,1.0,Carrollton,GA,exact
University of Central Missouri,176965.0,University of Central Missouri,1.0,1.0,Warrensburg,MO,exact
Bowie State University,162007.0,Bowie State University,1.0,1.0,Bowie,MD,exact
Eastern Michigan University,169798.0,Eastern Michigan University,1.0,1.0,Ypsilanti,MI,exact
Sam Houston State University,227881.0,Sam Houston State University,1.0,1.0,Huntsville,TX,exact
University of Northern Iowa,154095.0,University of Northern Iowa,1.0,1.0,Cedar Falls,IA,exact
Florida Gulf Coast University,433660.0,Florida Gulf Coast University,1.0,1.0,Fort Myers,FL,exact
Portland State University,209807.0,Portland State University,1.0,1.0,Portland,OR,exact
East Tennessee State University,220075.0,East Tennessee State University,1.0,1.0,Johnson City,TN,exact
Indiana State University,151324.0,Indiana State University,1.0,1.0,Terre Haute,IN,exact
Montana Technological University,180416.0,Montana Technological University,1.0,1.0,Butte,MT,exact
Western Carolina University,200004.0,Western Carolina University,1.0,1.0,Cullowhee,NC,exact
Fayetteville State University,198543.0,Fayetteville State University,1.0,1.0,Fayetteville,NC,exact
University of Wisconsin-Eau Claire,240268.0,University of Wisconsin-Eau Claire,1.0,1.0,Eau Claire,WI,exact
University of North Georgia,482680.0,University of North Georgia,1.0,1.0,Dahlonega,GA,exact
