college_name,Total Students,Top Group 1,Top Group 2,Top Group 3
University of Missouri-Columbia,286090,White,Black or African American,Nonresident Alien
Texas A&M University,304784,White,Hispanic/Latino,Black or African American
California Polytechnic State University-San Luis Obispo,173202,White,Hispanic/Latino,Asian
Columbia University in the City of New York,149848,White,Nonresident Alien,Asian
"California State University, Northridge",324190,Hispanic/Latino,White,Asian
Ohio State University,263598,White,Nonresident Alien,Hispanic/Latino
University of Texas at Austin,429330,White,Hispanic/Latino,Asian
University of Alabama,286778,White,Black or African American,Nonresident Alien
Arizona State University,81782,White,Nonresident Alien,Hispanic/Latino
University of Pittsburgh-Pittsburgh Campus,217074,White,Nonresident Alien,Asian
"University of California, Irvine",233034,Asian,White,Hispanic/Latino
University of Montana,129602,White,Two or More Races,Hispanic/Latino
"University of Nevada, Reno",156002,White,Hispanic/Latino,Asian
Washington University in St. Louis,93860,White,Asian,Nonresident Alien
Catholic University of America,47488,White,Race/Ethnicity Unknown,Hispanic/Latino
"University of California, Santa Barbara",192076,White,Hispanic/Latino,Asian
University of Tampa,61390,White,Hispanic/Latino,Nonresident Alien
University of Texas at El Paso,199684,Hispanic/Latino,White,Nonresident Alien
University of Massachusetts Amherst,233234,White,Race/Ethnicity Unknown,Asian
University of West Florida,107948,White,Black or African American,Hispanic/Latino
"University of California, Riverside",186946,Asian,Hispanic/Latino,White
University of Massachusetts Lowell,132590,White,Asian,Hispanic/Latino
University of North Carolina Asheville,34320,White,Hispanic/Latino,Race/Ethnicity Unknown
University of Texas Health Science Center at Houston,21334,White,Asian,Nonresident Alien
University of Texas Medical Branch at Galveston,16104,White,Hispanic/Latino,Asian
University of Texas MD Anderson Cancer Center,2900,White,Asian,Hispanic/Latino
"California State University, Chico",151708,White,Hispanic/Latino,Race/Ethnicity Unknown
University of Massachusetts Dartmouth,78090,White,Black or African American,Hispanic/Latino
"California State University, San Marcos",98272,White,Hispanic/Latino,Race/Ethnicity Unknown
Texas Woman’s University,109996,White,Black or African American,Hispanic/Latino
"California State Polytechnic University, Pomona",205312,Hispanic/Latino,Asian,White
University of Texas Permian Basin,32838,White,Hispanic/Latino,Black or African American
"Minnesota State University, Mankato",134338,White,Nonresident Alien,Black or African American
North Dakota State University,108294,White,Nonresident Alien,Two or More Races
