college_name,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Georgetown University,2616680000.0,3161062000.0,3248790000.0,3075810000.0,3348254000.0,3569538000.0,3685782000.0,3989960000.0,5398622000.0,6455424000.0,3357274000.0
Michigan State University,2543281790.0,2640474378.0,2784408646.0,2729019270.0,2802800858.0,3007630538.0,3213991064.0,3469446382.0,3976095018.0,4923081662.0,2120498846.0
Tufts University,4002422216.0,4263530506.0,4215946746.0,3911692368.0,4489552220.0,4341660596.0,4410946446.0,4398104372.0,6098981076.0,5450641688.0,2760388178.0
Brandeis University,1611777680.0,1795796898.0,1900400268.0,1799835972.0,2022596074.0,2160389584.0,2214103438.0,2218621324.0,2653398344.0,2476888390.0,1250183030.0
Williams College,4128980422.0,4648297756.0,4927286472.0,4644776250.0,5153022854.0,5633220552.0,5907049864.0,5812452190.0,8488829558.0,7199014330.0,3553205446.0
Linfield University,229124756.0,269452486.0,265821570.0,265620824.0,288819796.0,268938672.0,250069058.0,238870190.0,324687950.0,247434522.0,124161810.0
University of Delaware,674978138.0,877942232.0,3565012904.0,3293187002.0,3730650204.0,3849505012.0,3666898888.0,3570102378.0,4645639826.0,4473219858.0,2242507655.0
West Virginia University,1059361436.0,1103111510.0,1143923772.0,1289718442.0,1286421456.0,1381482496.0,1420927324.0,1444000878.0,1492372926.0,1557469418.0,743714258.0
California Baptist University,32558534.0,36069626.0,36694990.0,38043432.0,50389792.0,58340760.0,76192394.0,83349562.0,114235688.0,144690132.0,90891462.0
University of South Florida,1360265480.0,1646721668.0,1852537402.0,1922623882.0,2152861266.0,2161278504.0,2062056104.0,2178679408.0,2354693712.0,2462998214.0,1367091221.0
Seattle University,393860454.0,456284904.0,411927596.0,388362060.0,436697004.0,468747862.0,479185182.0,490526244.0,641952614.0,594930816.0,310752095.0
Stetson University,341497476.0,412106362.0,414824530.0,406112566.0,450480550.0,521085100.0,538652126.0,613024634.0,774324622.0,703777308.0,370101401.0
University of Wyoming,836425972.0,783712620.0,822503276.0,889339598.0,853379822.0,879625438.0,1013028000.0,897752000.0,561030000.0,528170000.0,367472000.0
Seton Hall University,522168000.0,590102000.0,581594000.0,544618000.0,576734000.0,591826000.0,561654000.0,567118000.0,701382000.0,639662000.0,328637000.0
